EECS 110 - Discover Computer Science,CS computer science basics introductory introduction intro
EECS 110 - Discover Computer Science,Computer Science concepts
EECS 110 - Discover Computer Science,variable conditional
EECS 110 - Discover Computer Science,loops functions
EECS 110 - Discover Computer Science,code coding programming
EECS 110 - Discover Computer Science,write code Python
EECS 110 - Discover Computer Science,program
EECS 183 - Elementary Programming Concepts,strings programming c++ computer science CS loops functions
EECS 183 - Elementary Programming Concepts,arrays lists
EECS 183 - Elementary Programming Concepts,test debug code
EECS 183 - Elementary Programming Concepts,coding projects project
EECS 183 - Elementary Programming Concepts,algorithm algorithms loop function functions
EECS 200 - Electrical Engineering Systems Design I,electrical Engineering systems EE 
EECS 200 - Electrical Engineering Systems Design I,circuits electric engineer
EECS 200 - Electrical Engineering Systems Design I,sensors sensor
EECS 200 - Electrical Engineering Systems Design I,optics power optic 
EECS 200 - Electrical Engineering Systems Design I,signal processing process
EECS 201 - Computer Science Pragmatics,shells compiler tool
EECS 201 - Computer Science Pragmatics,environments environment
EECS 201 - Computer Science Pragmatics,scripting version control
EECS 201 - Computer Science Pragmatics,Makefiles tools
EECS 201 - Computer Science Pragmatics,compilers debugging debug
EECS 203 - Discrete Math,math mathematics mathematical computer science cs 
EECS 203 - Discrete Math,theory proposition combination counting count
EECS 203 - Discrete Math,propositional predicate logic discrete 
EECS 203 - Discrete Math,set theory function functions relation relations
EECS 203 - Discrete Math,time complexity asymptotic notation complexity
EECS 203 - Discrete Math,growth functions proof complex induction inductive permutation permutations relation 
EECS 203 - Discrete Math,probability intro probablity introduction combinatorics
EECS 203 - Discrete Math,graph theory graphs connectivity
EECS 215 - Introduction to Electronic Circuits,voltage current basic concepts
EECS 215 - Introduction to Electronic Circuits,Kirchhoff voltage current laws Ohm law
EECS 215 - Introduction to Electronic Circuits,Ohm law Ohms EE electrical engineering engineer 
EECS 215 - Introduction to Electronic Circuits,Thevenin Norton equivalent circuits computer engineer
EECS 215 - Introduction to Electronic Circuits,laboratory electric signals circuits terminology resistive circuit analysis opertional amplifier amplifiers filter filters
EECS 216 - Introduction to Signals and Systems,Theory signals systems engineering electrical engineering computer 
EECS 216 - Introduction to Signals and Systems,Fourier series transforms spectrum digital signal processing
EECS 216 - Introduction to Signals and Systems,theory signals sytems discrete time Fourier Laplace transforms
EECS 216 - Introduction to Signals and Systems,poles zeros stability RLC circuit analysis
EECS 216 - Introduction to Signals and Systems,communications control processing Matlab  
EECS 230 - Engineering Electromagnetics,Vector Calculus Electrostatics magnetostatics electromagnetic electromagnetics
EECS 230 - Engineering Electromagnetics,Faraday's law displacement current smith chart magnetically coupled circuits 
EECS 230 - Engineering Electromagnetics,Maxwell equations differential form couples resonators shielded loop 
EECS 230 - Engineering Electromagnetics,traveling waves phasors impedance matching phasor 
EECS 230 - Engineering Electromagnetics,Faraday's law displacement  
EECS 270 - Introduction to Logic Design,Boolean algebra digital design techniques logic gates logic state minimization electrical engineering computer
EECS 270 - Introduction to Logic Design,Boolean algebra digital design techniques logic gates logic state minimization digital logic logics design devices device
EECS 270 - Introduction to Logic Design,standard combinational circuits latches flip flops sequential circuits synthesis
EECS 270 - Introduction to Logic Design,of synchronous sequential circuits state machines FPGAs memories arithmetic circuits computer-aided design
EECS 280 - Programming and Introductory Data Structures,programming program C++ cs computer science data structure
EECS 280 - Programming and Introductory Data Structures,stacks queues data structures
EECS 280 - Programming and Introductory Data Structures,arrays tree linked list lists
EECS 280 - Programming and Introductory Data Structures,data types machine learning euchre backend web image processing
EECS 280 - Programming and Introductory Data Structures,functions pointers low level fundamental fundamentals 
EECS 280 - Programming and Introductory Data Structures,pointers data types stack queues data structures
EECS 280 - Programming and Introductory Data Structures,data structures ds
EECS 281 - Data Structures and Algorithms,asymptotic complexity algorithms algorithm lists
EECS 281 - Data Structures and Algorithms,algorithms data structures stacks priority queues hashmap hash table
EECS 281 - Data Structures and Algorithms,binary tree trees search sorting searching recursion recursive programming
EECS 281 - Data Structures and Algorithms,c++ C++ graph algorithms greedy divide conquer
EECS 281 - Data Structures and Algorithms,strategy algorithms stack queue priority mergesort quicksort elementary sorts sort 
EECS 281 - Data Structures and Algorithms,coding projects code programming projects cs computer science ds data structure structures
EECS 298 - Special Topics,pilot versions new courses special Topics
EECS 300 - Electrical Engineering Systems Design II,electrical engineering ee computer engineering 
EECS 300 - Electrical Engineering Systems Design II,systems level system
EECS 300 - Electrical Engineering Systems Design II,design project electrical
EECS 300 - Electrical Engineering Systems Design II,power sensing tradeoffs open ended projects design
EECS 300 - Electrical Engineering Systems Design II,electrical systems system
EECS 301 - Probabilistic Methods in Engineering,probability theory basic engineering engineer
EECS 301 - Probabilistic Methods in Engineering,basic statistics probability engineering statistic 
EECS 301 - Probabilistic Methods in Engineering,stats discrete continuous conditional probability distributions averages independence
EECS 301 - Probabilistic Methods in Engineering,discrete continuous conditional probability distributions distribution average averages independence
EECS 301 - Probabilistic Methods in Engineering,statistical inference hypothesis testing estimation introduction discrete continuous random processes
EECS 301 - Probabilistic Methods in Engineering,statistical inference hypothesis testing estimation introduction discrete continuous random processes
EECS 311 - Analog Circuits,DC AC circuit models for diodes, bipolar junction transistors field-effect transistors
EECS 311 - Analog Circuits,DC AC circuit models diodes bipolar junction transistors field effect transistors
EECS 311 - Analog Circuits,DC AC circuit models diodes bipolar diode model computer engineering
EECS 311 - Analog Circuits,DC AC circuit models diodes bipolar EE CE engineer
EECS 311 - Analog Circuits,DC AC circuit models diodes bipolar electrical engineering
EECS 312 - Digital Integrated Circuits,Memory structures structure static dynamic RAM circuit power
EECS 312 - Digital Integrated Circuits,Memory structures static dynamic RAM circuit power
EECS 312 - Digital Integrated Circuits,Memory structures static dynamic RAM circuit power
EECS 312 - Digital Integrated Circuits,Memory structures static dynamic RAM
EECS 312 - Digital Integrated Circuits,Memory structures static dynamic RAM
EECS 314 - Electrical Circuits Systems and Applications,electrical systems system operation specifications interactions with other modules theory
EECS 314 - Electrical Circuits Systems and Applications,circuit fundamentals fundamental
EECS 314 - Electrical Circuits Systems and Applications,circuit circuits analyze
EECS 314 - Electrical Circuits Systems and Applications,analyze circuit circuits
EECS 314 - Electrical Circuits Systems and Applications,building circuits
EECS 314 - Electrical Circuits Systems and Applications,electrical engineering engineer EE computer CE
EECS 320 - Introduction to Semiconductor Devices,introduction semiconductors atomic bonding electron energy bands
EECS 320 - Introduction to Semiconductor Devices,introduction semiconductors atomic bonding electron energy bands
EECS 320 - Introduction to Semiconductor Devices,semiconductor atom bond electrons 
EECS 320 - Introduction to Semiconductor Devices,electrons electric electrical engineering
EECS 320 - Introduction to Semiconductor Devices,semiconductors semiconductor devices
EECS 330 - Introduction to Antennas and Wireless Systems,Electromagnetic fields waves wave applied antennas wireless systems system
EECS 330 - Introduction to Antennas and Wireless Systems,Electromagnetic fields field waves apply applied antennas wireless systems
EECS 330 - Introduction to Antennas and Wireless Systems,Electromagnetic fields waves applied antennas wireless systems
EECS 330 - Introduction to Antennas and Wireless Systems,wave reflection transmission dipoles arrays horn patch antennas waveguides microstrip lines resonators applications communication radar systems
EECS 330 - Introduction to Antennas and Wireless Systems,wave reflection transmission dipole dipoles arrays horn patch antennas waveguides microstrip lines resonators applications communication radar systems
EECS 334 - Principles of Optics,Basic principles optics optic
EECS 334 - Principles of Optics,optics light sources source propagation light geometrical optics lenses imaging ray tracing lens aberrations
EECS 334 - Principles of Optics,optics light sources propagation light geometrical optics lenses imaging ray tracing lens aberrations
EECS 334 - Principles of Optics,interference light waves wave coherent incoherent light beams Fresnel Fraunhofer diffraction
EECS 334 - Principles of Optics,interference light waves coherent incoherent light beam beams Fresnel Fraunhofer diffraction
EECS 351 - Introduction to Digital Signal Processing,signals signal processing digital
EECS 351 - Introduction to Digital Signal Processing,DSP methods applications Sampling reconstruction difference equations convolution stability z-transform transfer function frequency response FIR IIR
EECS 351 - Introduction to Digital Signal Processing,DTFT DFT FFT windows spectrogram computer-aided filter design correlation multirate basic image processing discrete-time wavelets
EECS 351 - Introduction to Digital Signal Processing,DSP methods applications Sampling reconstruction difference equations convolution stability z-transform transfer function frequency response FIR IIR
EECS 351 - Introduction to Digital Signal Processing,DTFT DFT FFT windows spectrogram computer-aided filter design correlation multirate basic image processing discrete-time wavelets
EECS 370 - Introduction to Computer Organization,concepts computer organization hardware
EECS 370 - Introduction to Computer Organization,assembly coding projects programming program storage stored memory
EECS 370 - Introduction to Computer Organization,data path processor processing pipelining caches memory virtual memory low level
EECS 370 - Introduction to Computer Organization,assembly coding projects programming program storage stored memory hardware coding projects
EECS 370 - Introduction to Computer Organization,data path processor processing pipelining caches memory virtual memory
EECS 373 - Introduction to Embedded System Design,Principles principle designing application specific computer systems interact 
EECS 373 - Introduction to Embedded System Design,analog interfacing interface design
EECS 373 - Introduction to Embedded System Design,microprocessors microprocessor reconfigurable hardware sensors actuators Complex hardware software system design implementation
EECS 373 - Introduction to Embedded System Design,hardware software program programming design implementation projects project coding
EECS 373 - Introduction to Embedded System Design,microprocessors reconfigurable hardware sensors actuators Complex hardware software system design implementation
EECS 376 - Foundations of Computer Science,Introduction theory computation Models model computation finite state machines Turing machines Decidable undecidable problems
EECS 376 - Foundations of Computer Science,Introduction theory computation Models computation finite state machines Turing machines Decidable undecidable problems
EECS 376 - Foundations of Computer Science,Polynomial time computability paradigms algorithm design computational complexity emphasizing NP-hardness Coping with intractability Exploiting intractability cryptography
EECS 376 - Foundations of Computer Science,Polynomial time computability paradigms paradigm algorithm design computational complexity emphasizing NP-hardness Coping with intractability Exploiting intractability cryptography
